#start-internal
icon=india
#end-internal
(Building Blocks)|(बिल्डिंग ब्लॉक्स)
Hole Size|छेद का आकार
Hole Spacing|छेद स्पेसिंग
Hole size|छेद का आकार
Holes per strip|प्रति स्ट्रिप छेद
Horizontal|क्षैतिज
Horizontal Alignment|क्षैतिज संरेखण
Horizontal Large|क्षैतिज बड़ा
Horizontal Medium|क्षैतिज मध्यम
Horizontal Small 1|क्षैतिज छोटा 1
Horizontal Small 2|क्षैतिज छोटा 2
Horizontal X-Small|क्षैतिज एक्स-छोटा
Humbucking|हम्बकिंग
If this box is checked application will use the current value as a<br>default when creating new components of the same type|यदि यह बॉक्स चेक किया गया है, तो एप्लिकेशन समान प्रकार के नए घटक बनाते समय वर्तमान मान को <br>डिफ़ॉल्ट के रूप में उपयोग करेगा
Image|छवि
Immediate Only|केवल तत्काल
Import|आयात करें
Import Building Blocks|बिल्डिंग ब्लॉक्स आयात करें
Import Netlist|नेटलिस्ट आयात करें
Import Variants|वेरिएंट आयात करें
In-Line D-44|इन-लाइन D-44
In-line|इन-लाइन
Indent|इंडेंट
Information|जानकारी
Inline|इनलाइन
Input error for "%s": %s|"%s" के लिए इनपुट त्रुटि: %s
Inside color|अंदर का रंग
Integration|एकीकरण
Invert polarity|ध्रुवता उलटें
Label|लेबल
Label Color|लेबल रंग
Label Orientation|लेबल ओरिएंटेशन
Label Position|लेबल स्थिति
Labels|लेबल
Language|भाषा
Language selection will be applied after the application is restarted.|भाषा चयन एप्लिकेशन रीस्टार्ट होने के बाद लागू होगा।
Layer|लेयर
Layers|लेयर
Lead Color|लीड रंग
Lead Count|लीड संख्या
Lead Length|लीड लंबाई
Lead Spacing|लीड स्पेसिंग
Left|बाएं
Left-to-Right|बाएं से दाएं
Left click to instantiate this component, right click for more options|इस घटक को इंस्टेंट करने के लिए बाएं क्लिक करें, अधिक विकल्पों के लिए दाएं क्लिक करें
Legs|पैर
Length|लंबाई
Letters|अक्षर
Light|लाइट
Lock|लॉक करें
Log In|लॉग इन करें
Log Out|लॉग आउट करें
Look for|खोजें
Lug Size|लग साइज़
Lugs|लग्स
Make a Donation|दान करें
Manage Account|खाता प्रबंधित करें
Manage My Uploads|मेरे अपलोड प्रबंधित करें
Mark Common Lugs|सामान्य लग्स चिह्नित करें
Marker|मार्कर
Marker Size|मार्कर साइज़
Mini|मिनी
Miniature|लघु
Mirror Horizontally|क्षैतिज रूप से मिरर करें
Mirror Selection|चयन मिरर करें
Mirror Vertically|ऊर्ध्वाधर रूप से मिरर करें
Mirroring operation will change the circuit. Do you want to continue?|मिररिंग ऑपरेशन सर्किट को बदल देगा। क्या आप जारी रखना चाहते हैं?
Misc|विविध
Model|मॉडल
Mono|मोनो
Mount|माउंट
Mounting Lugs|माउंटिंग लग्स
Mouse Wheel Zoom|माउस व्हील ज़ूम
Moveable Label|स्थानांतरणीय लेबल
Name|नाम
Negative|नकारात्मक
New|नया
New version available|नया संस्करण उपलब्ध है
No new public announcements available.|कोई नई सार्वजनिक घोषणाएं उपलब्ध नहीं हैं।
No|नहीं
None|कोई नहीं
North|उत्तर
Noval B9A|Noval B9A
Nudge|नज
Numbers|संख्या
Nut|नट
Octal|ऑक्टल
Offset|ऑफसेट
One Side|एक तरफ
Open|खोलें
Opposing Points|विपरीत बिंदु
Orientation|ओरिएंटेशन
Outer Foil|बाहरी फॉइल
Outer Foil Mark|बाहरी फॉइल मार्क
Outline Mode|आउटलाइन मोड
Outside|बाहर
Oval horizontal|क्षैतिज अंडाकार
Oval vertical|ऊर्ध्वाधर अंडाकार
Pad Color|पैड रंग
Panel|पैनल
Passive|निष्क्रिय
Paste|पेस्ट करें
Pin Arrangement|पिन व्यवस्था
Pin Color|पिन रंग
Pin Spacing|पिन स्पेसिंग
Pinout|पिनआउट
Pins|पिन्स
Play Test|टेस्ट प्ले करें
Plugin API|प्लगइन API
Point Count|बिंदु संख्या
Polarity|ध्रुवता
Polarized|ध्रुवीकृत
Pole Color|पोल रंग
Pole Pieces|पोल पीस
Pole Pieces 1|पोल पीस 1
Pole Pieces 2|पोल पीस 2
Positions|स्थितियां
Positive|सकारात्मक
Power Rating|पावर रेटिंग
Power Strip|पावर स्ट्रिप
Primary CT|प्राइमरी CT
Print...|प्रिंट...
Project Cloud|प्रोजेक्ट क्लाउड
Public Announcement|सार्वजनिक घोषणा
Radius|त्रिज्या
Rail|रेल
Recent Files|हाल की फ़ाइलें
Recent Updates|हाल के अपडेट
Redo|रीडू
Renumber On Paste|पेस्ट पर री-नंबर करें
Renumber Selection|चयन री-नंबर करें
Resistance|प्रतिरोध
Reverse (standing)|रिवर्स (खड़ा)
Right|दाएं
Rim|रिम
Rods|रॉड्स
Rotate Clockwise|दक्षिणावर्त घुमाएं
Rotate Counterclockwise|वामावर्त घुमाएं
Rotate Selection|चयन घुमाएं
Round|गोल
Round WOG A|राउंड WOG A
Round WOG B|राउंड WOG B
Row Spacing|पंक्ति स्पेसिंग
Rows|पंक्तियां
Ruler Inch Subdivision...|रूलर इंच सबडिवीजन...
Same Type Only|केवल समान प्रकार
Save|सहेजें
Save As|इस रूप में सहेजें
Save as Variant|वेरिएंट के रूप में सहेजें
Scale|स्केल
Schematic Symbols|स्कीमैटिक प्रतीक
Screws|स्क्रू
Selection|चयन
Selection Size|चयन साइज़
Selection is empty.|चयन खाली है।
Search The Cloud|क्लाउड खोजें
Searchable Tree|खोज योग्य ट्री
Secondary CT|सेकेंडरी CT
Select All|सभी चुनें
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|चयनित घटक अपनी लेयर के नीचे पहुंच गए हैं। क्या आप चयन को पीछे जबरदस्ती करना चाहते हैं?
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|चयनित घटक अपनी लेयर के ऊपर पहुंच गए हैं। क्या आप चयन को ऊपर जबरदस्ती करना चाहते हैं?
Selection contains components that cannot be mirrored. Do you want to exclude them?|चयन में ऐसे घटक हैं जिन्हें मिरर नहीं किया जा सकता। क्या आप उन्हें बाहर करना चाहते हैं?
Selection contains components that cannot be rotated. Do you want to exclude them?|चयन में ऐसे घटक हैं जिन्हें घुमाया नहीं जा सकता। क्या आप उन्हें बाहर करना चाहते हैं?
Semiconductors|सेमीकंडक्टर्स
Send Backward|पीछे भेजें
Send Selection to Back|चयन को पीछे भेजें
Seven|सात
Shaft Down|शाफ्ट नीचे
Shaft Up|शाफ्ट ऊपर
Shape|आकार
Shapes|आकार
Show Bracket|ब्रैकेट दिखाएं
Show Grid|ग्रिड दिखाएं
Show Rulers|रूलर दिखाएं
Shroud|श्राउड
Shrouded|श्राउडेड
Single Rail|सिंगल रेल
Single Rods|सिंगल रॉड्स
Size|साइज़
Sizing Mode|साइज़िंग मोड
Small-button B7G|स्मॉल-बटन B7G
Smooth|स्मूथ
Snap To|स्नैप टू
Soap Bar|सोप बार
Solid|ठोस
South|दक्षिण
Spacing|स्पेसिंग
Square|वर्ग
Square BR-3|स्क्वायर BR-3
Standard|स्टैंडर्ड
Start Arrow|शुरुआत तीर
Start Recording|रिकॉर्डिंग शुरू करें
Stereo|स्टीरियो
Sticky Points|स्टिकी पॉइंट्स
Stop Recording|रिकॉर्डिंग रोकें
Stratocaster|Stratocaster
Strip Color|स्ट्रिप रंग
Stripe|स्ट्राइप
Stripe 1|स्ट्राइप 1
Stripe 2|स्ट्राइप 2
Stripe Color|स्ट्राइप रंग
Stripe Color 1|स्ट्राइप रंग 1
Stripe Color 2|स्ट्राइप रंग 2
Style|स्टाइल
Submit a Bug|बग सबमिट करें
Suppressor grid|सप्रेसर ग्रिड
Switched|स्विच किया गया
Switches|स्विच
Tab|टैब
Tab Border|टैब बॉर्डर
Tabbed Toolbar|टैब्ड टूलबार
Taper|टेपर
Telecaster|Telecaster
Terminal Spacing|टर्मिनल स्पेसिंग
Terminals|टर्मिनल
Test|टेस्ट
Text|टेक्स्ट
Text Color|टेक्स्ट रंग
Theme|थीम
There are unsaved changes. Would you like to save them?|असहेजित परिवर्तन हैं। क्या आप उन्हें सहेजना चाहते हैं?
Thickness|मोटाई
Three|तीन
Through Hole|थ्रू होल
Tick|टिक
Tick Width|टिक चौड़ाई
Ticks|टिक्स
Title|शीर्षक
Toolbox|टूलबॉक्स
Top|ऊपर
Top Lead|टॉप लीड
Top Left|ऊपर बाएं
Top Right|ऊपर दाएं
Top-to-Bottom|ऊपर से नीचे
Trace|ट्रेस
Trace Color|ट्रेस रंग
Trace Mask|ट्रेस मास्क
Transform Selection|चयन ट्रांसफॉर्म करें
Triangle|त्रिभुज
Tubular|ट्यूबुलर
Tubes|ट्यूब्स
Two|दो
Type|प्रकार
Ultra-miniature|अल्ट्रा-मिनिएचर
Underside Pad Color|अंडरसाइड पैड रंग
Underside Trace Color|अंडरसाइड ट्रेस रंग
Undo|अनडू
Ungroup Selection|चयन अनग्रुप करें
Unit|यूनिट
Upload A Project|एक प्रोजेक्ट अपलोड करें
User Manual|उपयोगकर्ता मैनुअल
Value|मान
Version history is not available.|संस्करण इतिहास उपलब्ध नहीं है।
Vertical|ऊर्ध्वाधर
Vertical Alignment|ऊर्ध्वाधर संरेखण
Vertical Inline|ऊर्ध्वाधर इनलाइन
Vertical Offset 1|ऊर्ध्वाधर ऑफसेट 1
Vertical Offset 2|ऊर्ध्वाधर ऑफसेट 2
View|व्यू
Visible|दृश्यमान
Voltage|वोल्टेज
Wafer|वेफर
Warning|चेतावनी
Width|चौड़ाई
Winding Spacing|वाइंडिंग स्पेसिंग
Wiring|वायरिंग
X-axis|X-अक्ष
Y-axis|Y-अक्ष
Zoom|ज़ूम
base of 10|10 का आधार
base of 2|2 का आधार
hold %s and drag to unstick from|%s दबाए रखें और खींचकर अलग करें
Add a Curve|एक कर्व जोड़ें
Clear|साफ करें
Insert Image|छवि सम्मिलित करें
Load From File|फ़ाइल से लोड करें
Loadline Editor|लोडलाइन एडिटर
Max Current (mA)|अधिकतम करंट (mA)
Max Dissipation (W)|अधिकतम डिसिपेशन (W)
Max Voltage (V)|अधिकतम वोल्टेज (V)
Save To File|फ़ाइल में सहेजें
Update Axis|अक्ष अपडेट करें
Apply Variant|वेरिएंट लागू करें
Save as Building Block|बिल्डिंग ब्लॉक के रूप में सहेजें
Select|चुनें
Unlock|अनलॉक करें
Are you sure you want to clear the chat history for this project? This action cannot be undone!|क्या आप वाकई इस प्रोजेक्ट की चैट हिस्ट्री साफ करना चाहते हैं? यह कार्रवाई पूर्ववत नहीं की जा सकती!
Component reordering is possible only when Project Explorer is sorted by z-index.|घटक पुन: क्रमबद्धता केवल तभी संभव है जब प्रोजेक्ट एक्सप्लोरर z-index द्वारा क्रमबद्ध हो।
Could not apply changes. Check the log for details.|परिवर्तन लागू नहीं कर सके। विवरण के लिए लॉग जांचें।
Exporting outline for board %s to file %s|बोर्ड %s का आउटलाइन फ़ाइल %s में निर्यात कर रहे हैं
Failed to export the project to gerber. Please check the log for details|प्रोजेक्ट को gerber में निर्यात करने में विफल। कृपया विवरण के लिए लॉग जांचें
Forgot Password?|पासवर्ड भूल गए?
Gerber Export|Gerber निर्यात
Gerber export completed successfully. The following files were created:%s|Gerber निर्यात सफलतापूर्वक पूर्ण हुआ। निम्नलिखित फ़ाइलें बनाई गईं:%s
Get Premium|प्रीमियम प्राप्त करें
Netlist files|नेटलिस्ट फ़ाइलें
No proximity issues detected.|कोई निकटता समस्या का पता नहीं चला।
Nothing to export.|निर्यात करने के लिए कुछ नहीं है।
Password|पासवर्ड
Send|भेजें
There are some components that are outside of the bounds of boards.%sThey will be ignored unless you add a board component underneath them.%sDo you want to continue?|कुछ घटक बोर्ड की सीमाओं के बाहर हैं।%sजब तक आप उनके नीचे एक बोर्ड घटक नहीं जोड़ते, तब तक उन्हें अनदेखा किया जाएगा।%sक्या आप जारी रखना चाहते हैं?
User Name|उपयोगकर्ता नाम
AI Circuit Analyzer|AI सर्किट विश्लेषक
Cloud|क्लाउड
Compare With...|के साथ तुलना करें...
Connect to Patreon|Patreon से कनेक्ट करें
Export|निर्यात करें
Export to Gerber|Gerber में निर्यात करें
Generate DIYLC Netlist (excl. Switches)|DIYLC नेटलिस्ट जेनरेट करें (स्विच के बिना)
Generate DIYLC Netlist (incl. Switches)|DIYLC नेटलिस्ट जेनरेट करें (स्विच के साथ)
Generate Spice Netlist (excl. Switches)|Spice नेटलिस्ट जेनरेट करें (स्विच के बिना)
Generate Spice Netlist (incl. Switches)|Spice नेटलिस्ट जेनरेट करें (स्विच के साथ)
Silkscreen|सिल्कस्क्रीन
Virtual Multimeter (excl. Switches)|वर्चुअल मल्टीमीटर (स्विच के बिना)
Virtual Multimeter (incl. Switches)|वर्चुअल मल्टीमीटर (स्विच के साथ)
Become a Patreon and enjoy perks|Patreon बनें और लाभ उठाएं
Join Patreon|Patreon में शामिल हों

